fetched_at,time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,weather_code
2026-04-07T03:27:12Z,2026-04-07T03:00,24.8,70,0.0,7.3,0
2026-04-08T01:18:45Z,2026-04-08T01:00,26.2,61,0.0,5.4,2
2026-04-08T02:26:44Z,2026-04-08T02:00,25.7,62,0.0,5.7,1
2026-04-09T02:13:26Z,2026-04-09T02:00,25.4,78,0.0,5.4,2
2026-04-09T12:10:31Z,2026-04-09T12:00,36.2,49,0.0,7.4,2
2026-04-10T02:32:30Z,2026-04-10T02:00,25.1,68,0.0,5.8,2
2026-04-10T03:38:23Z,2026-04-10T03:00,24.9,67,0.0,6.3,1
2026-04-11T02:11:22Z,2026-04-11T02:00,25.3,70,0.0,6.0,1
2026-04-12T02:34:27Z,2026-04-12T02:00,25.1,69,0.0,6.3,0
2026-04-13T02:39:29Z,2026-04-13T02:00,25.1,75,0.0,5.1,1
2026-04-14T02:33:05Z,2026-04-14T02:00,25.8,76,0.0,6.0,2
2026-04-15T02:31:20Z,2026-04-15T02:00,25.0,85,0.0,5.4,1
2026-04-16T02:37:58Z,2026-04-16T02:00,24.8,95,0.0,4.5,2
2026-04-17T02:33:57Z,2026-04-17T02:00,24.5,99,0.0,3.9,45
2026-04-18T02:24:36Z,2026-04-18T02:00,24.3,96,0.0,5.9,3
2026-04-19T02:39:11Z,2026-04-19T02:00,22.2,95,0.0,4.0,3
2026-04-20T02:39:50Z,2026-04-20T02:00,22.0,89,0.0,4.0,3
2026-04-21T02:35:00Z,2026-04-21T02:00,23.0,88,0.0,4.3,1
2026-04-22T02:33:07Z,2026-04-22T02:00,23.4,86,0.0,4.3,1
2026-04-23T02:36:59Z,2026-04-23T02:00,24.5,86,0.0,4.9,1
2026-04-24T02:36:59Z,2026-04-24T02:00,25.0,93,0.0,1.8,3
2026-04-25T02:26:54Z,2026-04-25T02:00,25.2,88,0.0,3.2,3
2026-04-26T02:42:40Z,2026-04-26T02:00,25.4,86,0.0,3.6,3
2026-04-27T02:44:59Z,2026-04-27T02:00,26.1,83,0.0,5.2,2
2026-04-28T02:52:23Z,2026-04-28T02:00,26.4,91,0.0,6.0,3
2026-04-29T02:51:01Z,2026-04-29T02:00,25.5,97,0.0,6.0,3
2026-04-30T02:52:51Z,2026-04-30T02:00,25.6,84,0.0,11.2,0
2026-05-01T03:22:20Z,2026-05-01T03:00,24.9,82,0.0,4.6,3
2026-05-02T02:40:18Z,2026-05-02T02:00,26.0,86,0.0,1.3,3
2026-05-03T02:52:31Z,2026-05-03T02:00,26.6,88,0.0,3.0,3
2026-05-04T02:50:03Z,2026-05-04T02:00,27.1,89,0.0,2.8,3
2026-05-05T02:42:16Z,2026-05-05T02:00,25.2,91,0.1,5.9,51
2026-05-06T02:48:25Z,2026-05-06T02:00,24.8,94,0.0,1.8,2
2026-05-07T02:49:52Z,2026-05-07T02:00,26.8,85,0.0,5.6,0
2026-05-08T02:52:50Z,2026-05-08T02:00,27.3,81,0.0,6.5,3
2026-05-09T02:47:38Z,2026-05-09T02:00,26.5,84,0.1,2.4,51
2026-05-10T02:54:17Z,2026-05-10T02:00,26.7,80,0.0,1.2,2
2026-05-12T02:55:12Z,2026-05-12T02:00,27.0,88,0.2,6.2,51
2026-05-13T03:23:56Z,2026-05-13T03:00,27.6,84,0.0,6.5,3
2026-05-14T03:24:54Z,2026-05-14T03:00,28.0,83,0.0,7.0,3
2026-05-15T03:28:47Z,2026-05-15T03:00,27.9,79,0.0,6.5,3
2026-05-16T02:51:49Z,2026-05-16T02:00,27.8,84,0.0,7.6,3
2026-05-17T03:24:50Z,2026-05-17T03:00,27.1,85,0.0,5.5,3
2026-05-18T03:38:42Z,2026-05-18T03:00,26.8,84,0.0,8.6,3
2026-05-19T03:32:21Z,2026-05-19T03:00,27.1,86,0.0,8.6,3
2026-05-20T03:32:40Z,2026-05-20T03:00,28.4,89,0.0,5.0,95
2026-05-21T03:39:17Z,2026-05-21T03:00,29.0,83,0.0,6.0,95
2026-05-22T03:37:42Z,2026-05-22T03:00,27.2,88,0.0,5.5,3
2026-05-23T02:54:25Z,2026-05-23T02:00,28.5,83,0.0,6.4,2
2026-05-24T03:34:13Z,2026-05-24T03:00,28.5,80,0.0,5.6,2
2026-05-25T03:46:59Z,2026-05-25T03:00,29.0,84,0.0,6.8,95
2026-05-26T03:31:03Z,2026-05-26T03:00,28.8,80,0.0,8.0,0
