fetched_at,time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,weather_code
2026-04-07T03:27:12Z,2026-04-07T03:00,24.9,91,0.0,5.1,1
2026-04-08T01:18:45Z,2026-04-08T01:00,26.2,91,0.0,8.2,1
2026-04-08T02:26:44Z,2026-04-08T02:00,26.0,93,0.0,7.3,2
2026-04-09T02:13:26Z,2026-04-09T02:00,26.1,89,0.0,6.9,2
2026-04-09T12:10:31Z,2026-04-09T12:00,33.6,50,0.0,8.8,2
2026-04-10T02:32:30Z,2026-04-10T02:00,25.0,86,0.0,5.5,1
2026-04-10T03:38:23Z,2026-04-10T03:00,24.9,88,0.0,4.7,2
2026-04-11T02:11:22Z,2026-04-11T02:00,26.0,87,0.0,5.4,2
2026-04-12T02:34:27Z,2026-04-12T02:00,26.2,86,0.0,5.7,2
2026-04-13T02:39:29Z,2026-04-13T02:00,26.3,89,0.0,7.1,2
2026-04-14T02:33:05Z,2026-04-14T02:00,26.2,90,0.0,5.6,1
2026-04-15T02:31:20Z,2026-04-15T02:00,26.2,89,0.0,5.2,1
2026-04-16T02:37:58Z,2026-04-16T02:00,26.7,88,0.0,5.9,2
2026-04-17T02:33:57Z,2026-04-17T02:00,27.2,86,0.0,5.1,2
2026-04-18T02:24:36Z,2026-04-18T02:00,26.6,85,0.0,4.2,2
2026-04-19T02:39:11Z,2026-04-19T02:00,27.4,83,0.0,6.7,3
2026-04-20T02:39:50Z,2026-04-20T02:00,26.3,77,0.0,3.8,2
2026-04-21T02:35:00Z,2026-04-21T02:00,25.3,81,0.0,7.4,1
2026-04-22T02:33:07Z,2026-04-22T02:00,25.4,83,0.0,5.6,1
2026-04-23T02:36:59Z,2026-04-23T02:00,25.6,86,0.0,6.1,1
2026-04-24T02:36:59Z,2026-04-24T02:00,25.0,90,0.0,3.7,1
2026-04-25T02:26:54Z,2026-04-25T02:00,27.3,81,0.0,6.0,3
2026-04-26T02:42:40Z,2026-04-26T02:00,28.0,79,0.0,6.5,1
2026-04-27T02:44:59Z,2026-04-27T02:00,27.3,81,0.0,5.4,3
2026-04-28T02:52:23Z,2026-04-28T02:00,28.1,84,0.0,10.1,95
2026-04-29T02:51:01Z,2026-04-29T02:00,27.9,84,0.0,6.0,3
2026-04-30T02:52:51Z,2026-04-30T02:00,28.5,82,0.0,6.2,95
